3587,55182,570,../SDSS_Fits/spec-3587-55182-0570.fits
3590,55201,090,../SDSS_Fits/spec-3590-55201-0090.fits
3615,55179,228,../SDSS_Fits/spec-3615-55179-0228.fits
3647,55827,034,../SDSS_Fits/spec-3647-55827-0034.fits
3651,55247,440,../SDSS_Fits/spec-3651-55247-0440.fits
3656,55241,456,../SDSS_Fits/spec-3656-55241-0456.fits
3663,55176,174,../SDSS_Fits/spec-3663-55176-0174.fits
3671,55483,946,../SDSS_Fits/spec-3671-55483-0946.fits
3679,55209,490,../SDSS_Fits/spec-3679-55209-0490.fits
3692,55186,802,../SDSS_Fits/spec-3692-55186-0802.fits
3757,55508,856,../SDSS_Fits/spec-3757-55508-0856.fits
3757,55508,440,../SDSS_Fits/spec-3757-55508-0440.fits
3762,55507,764,../SDSS_Fits/spec-3762-55507-0764.fits
3763,55508,164,../SDSS_Fits/spec-3763-55508-0164.fits
3789,55269,628,../SDSS_Fits/spec-3789-55269-0628.fits
3792,55212,914,../SDSS_Fits/spec-3792-55212-0914.fits
3792,55212,849,../SDSS_Fits/spec-3792-55212-0849.fits
3806,55505,754,../SDSS_Fits/spec-3806-55505-0754.fits
3809,55533,020,../SDSS_Fits/spec-3809-55533-0020.fits
3816,55272,614,../SDSS_Fits/spec-3816-55272-0614.fits
3816,55272,549,../SDSS_Fits/spec-3816-55272-0549.fits
3818,55532,100,../SDSS_Fits/spec-3818-55532-0100.fits
3822,55544,914,../SDSS_Fits/spec-3822-55544-0914.fits
3826,55563,542,../SDSS_Fits/spec-3826-55563-0542.fits
3831,55543,009,../SDSS_Fits/spec-3831-55543-0009.fits
3831,55543,994,../SDSS_Fits/spec-3831-55543-0994.fits
3832,55289,538,../SDSS_Fits/spec-3832-55289-0538.fits
3833,55290,977,../SDSS_Fits/spec-3833-55290-0977.fits
3833,55290,038,../SDSS_Fits/spec-3833-55290-0038.fits
3836,55302,764,../SDSS_Fits/spec-3836-55302-0764.fits
3838,55588,554,../SDSS_Fits/spec-3838-55588-0554.fits
3839,55575,844,../SDSS_Fits/spec-3839-55575-0844.fits
3857,55272,464,../SDSS_Fits/spec-3857-55272-0464.fits
3861,55274,288,../SDSS_Fits/spec-3861-55274-0288.fits
3862,55276,430,../SDSS_Fits/spec-3862-55276-0430.fits
3868,55360,300,../SDSS_Fits/spec-3868-55360-0300.fits
3870,55273,596,../SDSS_Fits/spec-3870-55273-0596.fits
3870,55273,028,../SDSS_Fits/spec-3870-55273-0028.fits
3870,55273,820,../SDSS_Fits/spec-3870-55273-0820.fits
3874,55280,418,../SDSS_Fits/spec-3874-55280-0418.fits
3879,55244,020,../SDSS_Fits/spec-3879-55244-0020.fits
3927,55333,264,../SDSS_Fits/spec-3927-55333-0264.fits
3941,55321,270,../SDSS_Fits/spec-3941-55321-0270.fits
3966,55571,862,../SDSS_Fits/spec-3966-55571-0862.fits
3966,55571,088,../SDSS_Fits/spec-3966-55571-0088.fits
3971,55322,082,../SDSS_Fits/spec-3971-55322-0082.fits
3971,55322,196,../SDSS_Fits/spec-3971-55322-0196.fits
3972,55589,642,../SDSS_Fits/spec-3972-55589-0642.fits
3975,55321,890,../SDSS_Fits/spec-3975-55321-0890.fits
3982,55332,484,../SDSS_Fits/spec-3982-55332-0484.fits
4007,55327,200,../SDSS_Fits/spec-4007-55327-0200.fits
4012,55327,962,../SDSS_Fits/spec-4012-55327-0962.fits
4020,55332,632,../SDSS_Fits/spec-4020-55332-0632.fits
4029,55618,064,../SDSS_Fits/spec-4029-55618-0064.fits
4029,55618,236,../SDSS_Fits/spec-4029-55618-0236.fits
4034,55635,694,../SDSS_Fits/spec-4034-55635-0694.fits
4036,55330,598,../SDSS_Fits/spec-4036-55330-0598.fits
4037,55631,546,../SDSS_Fits/spec-4037-55631-0546.fits
