object_id,raj2000,dej2000,uv,vg,gr,ri,iz
1195150,344.317499,-41.088245,-0.16699982,0.13500023,0.41500092,-0.81900024,0.27000046
2509028,318.312548,-11.031987,0.94199944,0.48200035,0.21600056,-0.40199947,0.32199955
4247886,338.349342,-21.720894,0.97799873,0.23700142,0.073999405,-0.578001,0.40999985
4687063,353.533019,-26.395939,0.11000061,0.26000023,0.01999855,-0.45999908,0.0720005
4713527,357.675399,-25.485869,-0.081998825,-0.052000046,0.02599907,-0.60099983,0.10000038
4985435,358.629433,-17.323573,0.1949997,0.07100105,0.64699936,-0.43300056,0.21500015
5227668,345.242749,-9.83165,0.5770006,0.3710003,0.13199997,-0.43900013,0.7749996
6194684,13.715522,-37.660811,0.20800018,-0.19799995,0.17700005,-1.0370007,0.49700165
6324537,19.505716,-37.275946,0.28499985,-0.13599968,0.14299965,-0.40799904,0.25799942
6712258,25.098669,-30.72535,0.10299873,-0.080999374,0.013999939,-0.47699928,0.28899956
7052552,43.87669,-35.504601,-0.062999725,-0.0069999695,0.072999954,-0.44099998,-0.08300018
8232660,3.583625,-6.693687,0.99300003,0.22299957,0.3690014,-0.40999985,0.32499886
8299838,6.218949,-1.893175,0.045999527,0.19900036,0.5419998,-0.4829998,0.15100002
8376792,10.147833,-2.796792,-0.30599976,0.58399963,0.005001068,-0.526001,0.09300041
9018475,43.357336,-16.004001,1.0430002,0.37300014,0.0899992,-0.5629997,0.3590002
12442065,47.079316,-13.902895,0.53899956,0.2869997,0.20800018,-0.41800022,0.0539999
12814140,53.085953,-10.324731,0.40800095,-0.11900139,0.0030002594,-0.4619999,0.24699974
13129686,54.433429,-5.044344,0.12599945,0.27200127,0.041999817,-0.7779999,0.0189991
13635105,72.261203,-18.691476,-0.11699867,0.4109993,0.26099968,-0.4619999,0.02599907
16993866,105.807581,-40.297721,1.1389999,0.7539997,0.40600014,-0.41800117,0.09100151
19510583,97.815732,-28.149248,0.60700035,-0.024000168,0.020000458,-0.44099998,-0.0030002594
20097242,109.869486,-32.527154,0.7670002,0.48399925,0.069000244,-0.42199898,0.012998581
20190964,109.920084,-30.681269,0.32099915,0.27900124,0.027999878,-0.42000008,0.11599922
20290683,110.903329,-33.507534,0.48399925,0.20200157,0.042999268,-0.42000008,0.031999588
34588945,111.985451,-20.223001,0.21899986,0.12699986,0.3789997,-0.408,-0.05099964
