   1000.000       1.320232      0.6160111             347
   1000.230       1.278619      0.6325842             348
   1000.461       1.268091      0.6427678             348
   1000.691       1.309328      0.6447675             348
   1000.922       1.323541      0.6161273             348
   1001.152       1.300376      0.6372135             348
   1001.382       1.296538      0.6182436             348
   1001.613       1.297692      0.6391796             349
   1001.844       1.301113      0.6835021             351
   1002.075       1.283499      0.6310952             351
   1002.305       1.291702      0.6336604             351
   1002.536       1.345069      0.5877681             353
   1002.767       1.410092      0.6050797             355
   1002.997       1.347734      0.6218023             355
   1003.229       1.358315      0.6357780             357
   1003.460       1.285458      0.6403409             357
   1003.691       1.321587      0.6309618             358
   1003.922       1.366657      0.6248589             358
   1004.153       1.319571      0.6295130             360
   1004.384       1.337652      0.6427158             361
   1004.615       1.390534      0.6744793             363
   1004.847       1.343397      0.6438392             364
   1005.078       1.329187      0.6301340             365
   1005.310       1.345127      0.6633137             365
   1005.541       1.328993      0.6414607             364
   1005.773       1.365675      0.6088943             367
   1006.005       1.348926      0.5938678             371
   1006.236       1.362689      0.6491390             372
   1006.468       1.326354      0.6021155             375
   1006.700       1.253629      0.6102128             377
   1006.932       1.334860      0.6496819             379
   1007.163       1.335465      0.6269763             380
   1007.396       1.318755      0.6155091             379
   1007.627       1.315916      0.6444744             381
   1007.859       1.307416      0.6033214             381
   1008.092       1.284947      0.6006902             384
   1008.323       1.311568      0.5948041             384
   1008.556       1.333057      0.6230516             384
   1008.788       1.326669      0.6107743             384
   1009.021       1.307945      0.5903324             384
   1009.253       1.338852      0.6023680             385
   1009.485       1.388998      0.6121018             386
   1009.718       1.437621      0.6147562             387
   1009.950       1.431042      0.6541874             387
   1010.183       1.368896      0.5871064             387
   1010.415       1.356770      0.6484993             388
   1010.648       1.400678      0.6314190             389
   1010.881       1.375217      0.6236537             388
   1011.113       1.296618      0.6272450             388
   1011.346       1.333252      0.6468459             388
   1011.579       1.323348      0.5933413             389
   1011.812       1.321920      0.6258494             390
   1012.045       1.347132      0.6388251             393
   1012.279       1.391362      0.6465856             393
   1012.511       1.362223      0.6423122             395
   1012.744       1.267630      0.6805682             394
   1012.978       1.323823      0.6570978             397
   1013.211       1.346483      0.6687912             399
   1013.445       1.386700      0.6587733             400
   1013.678       1.348777      0.6656854             400
