1000.000 1.00205
1000.230 0.970666
1000.461 0.962872
1000.691 0.994388
1000.922 1.00539
1001.152 0.987996
1001.382 0.985281
1001.613 0.986361
1001.844 0.989165
1002.075 0.975975
1002.305 0.982414
1002.536 1.02321
1002.767 1.0729
1002.997 1.02566
1003.229 1.03393
1003.460 0.978669
1003.691 1.00638
1003.922 1.04092
1004.153 1.00526
1004.384 1.01924
1004.615 1.05975
1004.847 1.02404
1005.078 1.01341
1005.310 1.02578
1005.541 1.01368
1005.773 1.04188
1006.005 1.02931
1006.236 1.04002
1006.468 1.0125
1006.700 0.957179
1006.932 1.01941
1007.163 1.02008
1007.396 1.00752
1007.627 1.00556
1007.859 0.999267
1008.092 0.982296
1008.323 1.00285
1008.556 1.01949
1008.788 1.01481
1009.021 1.00069
1009.253 1.02455
1009.485 1.06314
1009.718 1.10058
1009.950 1.09577
1010.183 1.0484
1010.415 1.03932
1010.648 1.07317
1010.881 1.05388
1011.113 0.99385
1011.346 1.02214
1011.579 1.01475
1011.812 1.01386
1012.045 1.03341
1012.279 1.06756
1012.511 1.04541
1012.744 0.973017
1012.978 1.01636
1013.211 1.03396
1013.445 1.06506
1013.678 1.03615
1013.911 1.07983
1014.145 1.05705
1014.378 1.02138
1014.612 1.06046
1014.845 1.06205
1015.079 1.01571
1015.313 1.04989
1015.547 1.0876
1015.781 1.09369
1016.014 1.10238
1016.249 1.12
1016.482 1.12478
1016.717 1.1144
1016.951 1.11368
1017.185 1.15911
1017.419 1.12595
1017.653 1.16978
1017.888 1.13532
1018.122 1.18292
1018.357 1.16726
1018.591 1.16511
1018.826 1.13961
1019.060 1.11044
1019.295 1.10186
1019.530 1.13133
1019.764 1.1291
1020.000 1.14705
1020.234 1.17762
1020.469 1.18459
1020.704 1.18318
1020.939 1.17171
1021.174 1.1768
1021.409 1.19876
1021.645 1.22991
1021.880 1.21123
1022.116 1.2612
1022.351 1.26172
1022.586 1.23961
1022.822 1.2716
1023.057 1.28414
1023.293 1.307
1023.528 1.32666
1023.764 1.35261
